kp_id,grade,category,rows,allow_rows,declared_types
math-g5-mixed-u01-k005,g5,no_rows,0,0,apply
math-g5-mixed-u01-k006,g5,no_rows,0,0,apply
math-g5-mixed-u01-k007,g5,no_rows,0,0,calc
math-g5-mixed-u01-k008,g5,no_rows,0,0,calc
math-g5-mixed-u01-k009,g5,has_rows_no_allow,1,0,calc
math-g5-mixed-u01-k010,g5,has_rows_no_allow,1,0,calc
math-g5-mixed-u01-k011,g5,has_rows_no_allow,1,0,calc
math-g5-mixed-u02-k002,g5,no_rows,0,0,apply
math-g5-mixed-u02-k007,g5,no_rows,0,0,calc
math-g5-mixed-u02-k008,g5,no_rows,0,0,apply
math-g5-mixed-u02-k009,g5,no_rows,0,0,apply
math-g5-mixed-u02-k014,g5,no_rows,0,0,apply
math-g5-mixed-u02-k017,g5,no_rows,0,0,geometry
math-g5-mixed-u02-k020,g5,no_rows,0,0,calc
math-g5-mixed-u02-k022,g5,no_rows,0,0,apply
math-g5-mixed-u02-k057,g5,no_rows,0,0,apply
math-g5-mixed-u02-k062,g5,no_rows,0,0,apply
math-g5-mixed-u02-k063,g5,no_rows,0,0,calc
math-g5-mixed-u02-k065,g5,has_rows_no_allow,1,0,geometry
math-g5-mixed-u02-k068,g5,no_rows,0,0,apply
math-g5-mixed-u02-k076,g5,no_rows,0,0,apply
math-g5-mixed-u02-k077,g5,has_rows_no_allow,1,0,geometry
math-g5-up-u01-k001,g5,no_rows,0,0,calc
math-g5-up-u01-k003,g5,has_rows_no_allow,1,0,apply
math-g5-up-u01-k004,g5,has_rows_no_allow,1,0,apply
math-g5-up-u02-k001,g5,no_rows,0,0,apply
math-g5-up-u03-k001,g5,has_rows_no_allow,1,0,apply
math-g5-up-u03-k002,g5,has_rows_no_allow,1,0,apply
math-g5-up-u03-k004,g5,has_rows_no_allow,1,0,apply
math-g5-up-u03-k005,g5,has_rows_no_allow,1,0,apply
math-g5-up-u03-k006,g5,has_rows_no_allow,1,0,apply
math-g5-up-u04-k001,g5,has_rows_no_allow,1,0,apply
math-g5-up-u04-k002,g5,has_rows_no_allow,1,0,apply
math-g5-up-u04-k004,g5,has_rows_no_allow,1,0,apply
math-g5-up-u04-k005,g5,has_rows_no_allow,1,0,apply
math-g5-up-u04-k006,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k001,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k002,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k003,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k004,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k005,g5,has_rows_no_allow,1,0,calc
math-g5-up-u05-k006,g5,has_rows_no_allow,1,0,apply
math-g5-up-u05-k008,g5,has_rows_no_allow,3,0,fill|choice|apply
math-g5-up-u07-k001,g5,has_rows_no_allow,1,0,apply
math-g6-down-u01-k002,g6,has_rows_no_allow,1,0,calc
math-g6-down-u01-k003,g6,has_rows_no_allow,1,0,calc
math-g6-down-u01-k004,g6,has_rows_no_allow,1,0,calc
math-g6-down-u02-k001,g6,has_rows_no_allow,1,0,apply
math-g6-down-u04-k001,g6,has_rows_no_allow,1,0,apply
math-g6-down-u04-k002,g6,has_rows_no_allow,1,0,apply
math-g6-down-u04-k004,g6,has_rows_no_allow,1,0,apply
math-g6-down-u04-k006,g6,has_rows_no_allow,1,0,apply
math-g6-down-u05-k002,g6,has_rows_no_allow,1,0,apply
math-g6-mixed-u01-k008,g6,has_rows_no_allow,1,0,calc
math-g6-mixed-u02-k020,g6,has_rows_no_allow,1,0,geometry
math-g6-mixed-u02-k087,g6,has_rows_no_allow,1,0,geometry
math-g6-up-u01-k001,g6,has_rows_no_allow,1,0,calc
math-g6-up-u01-k002,g6,has_rows_no_allow,1,0,apply
math-g6-up-u01-k003,g6,has_rows_no_allow,1,0,apply
math-g6-up-u01-k005,g6,has_rows_no_allow,1,0,apply
math-g6-up-u01-k006,g6,has_rows_no_allow,1,0,apply
math-g6-up-u01-k007,g6,has_rows_no_allow,1,0,apply
math-g6-up-u03-k001,g6,has_rows_no_allow,1,0,apply
math-g6-up-u03-k002,g6,has_rows_no_allow,1,0,apply
math-g6-up-u03-k003,g6,has_rows_no_allow,1,0,apply
math-g6-up-u03-k004,g6,has_rows_no_allow,1,0,apply
math-g6-up-u04-k001,g6,has_rows_no_allow,1,0,apply
math-g6-up-u06-k001,g6,has_rows_no_allow,1,0,apply
math-g6-up-u06-k002,g6,has_rows_no_allow,1,0,apply
